,id,rank,country_full,confederation,rank_date
49388,999,67,Montenegro,UEFA,2015-03-12
49389,43887,75,Togo,CAF,2015-03-12
49390,43889,74,Uganda,CAF,2015-03-12
49391,43931,72,Venezuela,CONMEBOL,2015-03-12
49392,44005,72,Uzbekistan,AFC,2015-03-12
49393,43936,71,Bulgaria,UEFA,2015-03-12
49394,43961,70,Norway,UEFA,2015-03-12
49395,43840,69,United Arab Emirates,AFC,2015-03-12
49396,43847,68,Burkina Faso,CAF,2015-03-12
49397,43953,66,Republic of Ireland,UEFA,2015-03-12
49398,43858,54,Gabon,CAF,2015-03-12
49399,43877,64,Rwanda,CAF,2015-03-12
49400,43920,63,Trinidad and Tobago,CONCACAF,2015-03-12
49401,43932,61,Albania,UEFA,2015-03-12
49402,43914,61,Panama,CONCACAF,2015-03-12
49403,43891,60,Zambia,CAF,2015-03-12
49404,43929,59,Peru,CONMEBOL,2015-03-12
49405,43855,58,Egypt,CAF,2015-03-12
49406,43972,56,Turkey,UEFA,2015-03-12
49407,43822,56,Korea Republic,AFC,2015-03-12
49408,43883,55,South Africa,CAF,2015-03-12
49409,43976,65,Australia,AFC,2015-03-12
49410,43910,76,Jamaica,CONCACAF,2015-03-12
49411,43820,101,Jordan,AFC,2015-03-12
49412,43945,78,Finland,UEFA,2015-03-12
49413,43819,53,Japan,AFC,2015-03-12
49414,43886,100,Tanzania,CAF,2015-03-12
49415,43835,99,Saudi Arabia,AFC,2015-03-12
49416,43937,98,Belarus,UEFA,2015-03-12
49417,43818,97,Iraq,AFC,2015-03-12
49418,43831,96,Oman,AFC,2015-03-12
49419,43955,95,Latvia,UEFA,2015-03-12
49420,43957,94,Lithuania,UEFA,2015-03-12
49421,43845,92,Benin,CAF,2015-03-12
49422,43923,92,Bolivia,CONMEBOL,2015-03-12
49423,43868,91,Malawi,CAF,2015-03-12
49424,43872,89,Morocco,CAF,2015-03-12
49425,43904,89,El Salvador,CONCACAF,2015-03-12
49426,43881,87,Sierra Leone,CAF,2015-03-12
49427,43943,87,Estonia,UEFA,2015-03-12
49428,43873,86,Mozambique,CAF,2015-03-12
49429,43939,85,Cyprus,UEFA,2015-03-12
49430,43844,84,Angola,CAF,2015-03-12
49431,43812,83,China PR,AFC,2015-03-12
49432,43906,82,Guatemala,CONCACAF,2015-03-12
49433,43909,81,Honduras,CONCACAF,2015-03-12
49434,43928,80,Paraguay,CONMEBOL,2015-03-12
49435,43933,79,Armenia,UEFA,2015-03-12
49436,43908,77,Haiti,CONCACAF,2015-03-12
49437,43853,52,Congo,CAF,2015-03-12
49438,43984,26,Israel,UEFA,2015-03-12
49439,43856,50,Equatorial Guinea,CAF,2015-03-12
49440,43911,21,Mexico,CONCACAF,2015-03-12
49441,43854,20,Côte d'Ivoire,CAF,2015-03-12
49442,43938,19,Croatia,UEFA,2015-03-12
49443,43843,18,Algeria,CAF,2015-03-12
49444,43942,17,England,UEFA,2015-03-12
49445,43995,16,Czech Republic,UEFA,2015-03-12
49446,43925,15,Chile,CONMEBOL,2015-03-12
49447,43964,14,Romania,UEFA,2015-03-12
49448,43901,13,Costa Rica,CONCACAF,2015-03-12
49449,43971,12,Switzerland,UEFA,2015-03-12
49450,44002,22,Slovakia,UEFA,2015-03-12
49451,43969,11,Spain,UEFA,2015-03-12
49452,43930,9,Uruguay,CONMEBOL,2015-03-12
49453,43946,8,France,UEFA,2015-03-12
49454,43963,7,Portugal,UEFA,2015-03-12
49455,43924,6,Brazil,CONMEBOL,2015-03-12
49456,43960,5,Netherlands,UEFA,2015-03-12
49457,43935,4,Belgium,UEFA,2015-03-12
49458,43926,3,Colombia,CONMEBOL,2015-03-12
49459,43922,2,Argentina,CONMEBOL,2015-03-12
49460,43948,1,Germany,UEFA,2015-03-12
49461,1882218,102,Antigua and Barbuda,CONCACAF,2015-03-12
49462,43954,10,Italy,UEFA,2015-03-12
49463,43934,23,Austria,UEFA,2015-03-12
49464,43860,24,Ghana,CAF,2015-03-12
49465,43888,25,Tunisia,CAF,2015-03-12
49466,43849,49,Cameroon,CAF,2015-03-12
49467,43968,48,Slovenia,UEFA,2015-03-12
49468,20014,47,Congo DR,CAF,2015-03-12
49469,43950,46,Hungary,UEFA,2015-03-12
49470,43970,45,Sweden,UEFA,2015-03-12
49471,43861,44,Guinea,CAF,2015-03-12
49472,43952,43,Northern Ireland,UEFA,2015-03-12
49473,43817,42,IR Iran,AFC,2015-03-12
49474,43876,41,Nigeria,CAF,2015-03-12
49475,1902465,40,Serbia,UEFA,2015-03-12
49476,43967,39,Scotland,UEFA,2015-03-12
49477,43850,38,Cabo Verde,CAF,2015-03-12
49478,43974,37,Wales,UEFA,2015-03-12
49479,43879,36,Senegal,CAF,2015-03-12
49480,43951,35,Iceland,UEFA,2015-03-12
49481,43962,34,Poland,UEFA,2015-03-12
49482,43965,33,Russia,UEFA,2015-03-12
49483,43921,32,USA,CONCACAF,2015-03-12
49484,43973,31,Ukraine,UEFA,2015-03-12
49485,44037,30,Bosnia and Herzegovina,UEFA,2015-03-12
49486,43927,29,Ecuador,CONMEBOL,2015-03-12
49487,43941,28,Denmark,UEFA,2015-03-12
49488,43949,27,Greece,UEFA,2015-03-12
49489,43869,51,Mali,CAF,2015-03-12
49490,43857,102,Ethiopia,CAF,2015-03-12
49491,43808,104,Bahrain,AFC,2015-03-12
49492,43944,105,Faroe Islands,UEFA,2015-03-12
49493,43966,181,San Marino,UEFA,2015-03-12
49494,43830,180,Nepal,AFC,2015-03-12
49495,43878,179,São Tomé and Príncipe,CAF,2015-03-12
49496,43880,178,Seychelles,CAF,2015-03-12
49497,1896913,177,Comoros,CAF,2015-03-12
49498,20011,176,Turks and Caicos Islands,CONCACAF,2015-03-12
49499,43842,175,Yemen,AFC,2015-03-12
49500,43837,174,Sri Lanka,AFC,2015-03-12
49501,43815,173,India,AFC,2015-03-12
49502,20009,172,Montserrat,CONCACAF,2015-03-12
49503,44009,181,Cambodia,AFC,2015-03-12
49504,43824,170,Laos,AFC,2015-03-12
49505,43898,169,Bermuda,CONCACAF,2015-03-12
49506,43859,168,Gambia,CAF,2015-03-12
